,DateTime,Open,High,Low,Close,Volume
38970,2024-03-07 14:25:00,924.29,924.549,923.96,924.306,43697
38971,2024-03-07 14:26:00,924.42,924.69,924.01,924.5,57794
38972,2024-03-07 14:27:00,924.49,924.5,923.99,924.29,46085
38973,2024-03-07 14:28:00,924.1301,924.3,923.52,923.75,79605
38974,2024-03-07 14:29:00,923.845,924.28,922.76,923.7027,107472
38975,2024-03-07 14:30:00,923.9299,924.98,923.5,924.7365,82628
38976,2024-03-07 14:31:00,924.8499,924.94,923.6,923.82,89245
38977,2024-03-07 14:32:00,923.845,924.6444,923.7,923.77,49666
38978,2024-03-07 14:33:00,923.9843,924.01,922.23,922.61,85091
38979,2024-03-07 14:34:00,922.7,923.74,922.5703,922.96,67378
38980,2024-03-07 14:35:00,922.7001,923.0,922.23,922.54,63893
38981,2024-03-07 14:36:00,922.5451,923.5399,922.18,922.72,63619
38982,2024-03-07 14:37:00,922.588,923.19,921.11,921.734,86761
38983,2024-03-07 14:38:00,921.765,922.6454,921.6635,922.4999,46950
38984,2024-03-07 14:39:00,922.34,922.65,922.01,922.02,31898
38985,2024-03-07 14:40:00,922.16,923.28,922.14,923.2599,50588
38986,2024-03-07 14:41:00,923.0791,923.33,922.36,922.584,57004
38987,2024-03-07 14:42:00,922.57,922.8499,921.94,922.39,36309
38988,2024-03-07 14:43:00,922.39,922.81,921.7401,922.81,53785
38989,2024-03-07 14:44:00,922.73,922.73,921.9505,922.47,28674
38990,2024-03-07 14:45:00,922.4,923.5,922.04,923.352,75547
38991,2024-03-07 14:46:00,923.352,923.75,922.9801,923.0427,53988
38992,2024-03-07 14:47:00,923.34,923.79,923.0874,923.79,36001
38993,2024-03-07 14:48:00,923.72,923.91,923.51,923.69,54457
38994,2024-03-07 14:49:00,923.8,924.99,923.634,924.235,161849
38995,2024-03-07 14:50:00,924.22,924.4599,923.61,923.9001,47875
38996,2024-03-07 14:51:00,924.0748,924.8,923.91,924.6,50201
38997,2024-03-07 14:52:00,924.57,924.62,923.76,923.885,50744
38998,2024-03-07 14:53:00,923.885,924.01,923.6,923.73,28509
38999,2024-03-07 14:54:00,923.63,924.74,923.5001,924.185,64889
39000,2024-03-07 14:55:00,924.1834,924.1951,922.91,923.345,54126
39001,2024-03-07 14:56:00,923.15,924.1999,922.95,923.0001,51480
39002,2024-03-07 14:57:00,923.0,923.2492,922.0,922.24,76752
39003,2024-03-07 14:58:00,922.1,922.3037,919.46,920.4495,175814
39004,2024-03-07 14:59:00,920.5,920.7,919.68,920.19,109266
39005,2024-03-07 15:00:00,920.16,920.16,916.4601,917.902,225059
39006,2024-03-07 15:01:00,918.07,919.0,917.59,918.312,98069
39007,2024-03-07 15:02:00,918.46,919.5748,917.65,919.15,112508
39008,2024-03-07 15:03:00,918.98,920.2887,918.41,920.1464,111566
39009,2024-03-07 15:04:00,920.01,921.25,919.3771,921.16,129046
39010,2024-03-07 15:05:00,920.8908,921.6999,920.35,921.51,129287
39011,2024-03-07 15:06:00,921.555,921.95,920.78,921.765,94277
39012,2024-03-07 15:07:00,921.75,921.969,920.89,921.14,71163
39013,2024-03-07 15:08:00,921.28,921.2876,919.61,920.51,92850
39014,2024-03-07 15:09:00,920.2706,921.41,920.27,921.125,60073
39015,2024-03-07 15:10:00,921.125,921.51,920.47,921.14,63574
39016,2024-03-07 15:11:00,921.03,921.14,919.13,920.165,77681
39017,2024-03-07 15:12:00,920.34,920.675,919.85,920.22,30476
39018,2024-03-07 15:13:00,920.37,920.7499,920.0,920.658,41945
39019,2024-03-07 15:14:00,920.75,921.24,920.08,920.6383,70804
39020,2024-03-07 15:15:00,920.705,921.1999,920.2,920.3601,44167
39021,2024-03-07 15:16:00,920.54,920.7499,919.91,919.91,56221
39022,2024-03-07 15:17:00,919.95,920.1799,919.11,919.33,61145
39023,2024-03-07 15:18:00,919.41,921.24,919.0,920.635,117422
39024,2024-03-07 15:19:00,920.59,921.9699,920.59,921.13,96379
39025,2024-03-07 15:20:00,921.1699,921.1699,920.0203,920.955,77151
39026,2024-03-07 15:21:00,920.8536,921.0917,920.02,920.72,52869
39027,2024-03-07 15:22:00,920.72,920.8605,919.8,920.555,69349
39028,2024-03-07 15:23:00,920.55,920.65,919.4301,919.64,47572
39029,2024-03-07 15:24:00,919.52,920.9999,919.5,920.7866,94305
39030,2024-03-07 15:25:00,920.9645,921.88,920.64,921.6743,86206
39031,2024-03-07 15:26:00,921.6,922.44,921.36,922.11,100834
39032,2024-03-07 15:27:00,922.11,922.87,922.11,922.2,86046
39033,2024-03-07 15:28:00,922.4999,922.5,921.66,922.05,58585
39034,2024-03-07 15:29:00,922.11,922.3999,921.86,922.0501,47280
39035,2024-03-07 15:30:00,922.1449,922.7701,922.0663,922.39,57763
39036,2024-03-07 15:31:00,922.46,922.88,922.0,922.555,66760
39037,2024-03-07 15:32:00,922.61,923.76,922.4801,923.5,108592
39038,2024-03-07 15:33:00,923.49,923.6999,922.6516,923.31,54305
39039,2024-03-07 15:34:00,923.28,923.4799,922.8684,923.185,35947
39040,2024-03-07 15:35:00,923.1836,923.3899,922.31,922.69,56315
39041,2024-03-07 15:36:00,922.853,923.06,922.06,922.39,62219
39042,2024-03-07 15:37:00,922.44,922.7,921.7,922.5,72827
39043,2024-03-07 15:38:00,922.6774,923.18,922.375,923.0239,73044
39044,2024-03-07 15:39:00,923.11,923.59,923.0,923.39,60138
39045,2024-03-07 15:40:00,923.3975,924.0,923.245,923.87,98689
39046,2024-03-07 15:41:00,923.8092,925.0,923.8092,924.795,206195
39047,2024-03-07 15:42:00,924.74,924.9,923.8,924.67,113955
39048,2024-03-07 15:43:00,924.6739,924.75,922.95,923.415,129176
39049,2024-03-07 15:44:00,923.2201,924.2,922.66,922.66,115012
39050,2024-03-07 15:45:00,922.705,923.5499,921.42,923.4388,128868
39051,2024-03-07 15:46:00,923.35,923.5499,922.48,923.396,62676
39052,2024-03-07 15:47:00,923.3129,923.5,922.55,922.95,67186
39053,2024-03-07 15:48:00,922.95,922.95,921.58,922.37,99555
39054,2024-03-07 15:49:00,922.27,922.6699,921.43,922.522,85725
39055,2024-03-07 15:50:00,922.51,924.24,922.5,923.788,125978
39056,2024-03-07 15:51:00,923.88,925.0,923.6401,924.7578,147792
39057,2024-03-07 15:52:00,924.7,925.8499,924.2701,925.57,225712
39058,2024-03-07 15:53:00,925.55,925.73,923.15,924.13,200368
39059,2024-03-07 15:54:00,924.13,925.98,923.77,925.56,120726
39060,2024-03-07 15:55:00,925.625,927.49,925.11,927.0,245425
39061,2024-03-07 15:56:00,927.005,927.4299,925.27,926.4,161185
39062,2024-03-07 15:57:00,926.48,927.25,925.2203,925.5,182640
39063,2024-03-07 15:58:00,925.58,926.62,925.33,926.5,139479
39064,2024-03-07 15:59:00,926.59,927.67,925.68,926.74,359313
39065,2024-03-07 16:00:00,926.69,927.5201,926.54,927.5201,1841679
